PIB Municipal - preços de mercado (preços de 2010)
Sigla,Código,Meso-região,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
PA,1503,Metropolitana de Belém,22356697.7652238,21983441.6450536,25273326.0415239,25001909.0209935,27212839.8118492,28489294.8224081,28618074.3374955,28460753.0983799,29028871.868,30390076.6643093,33006816.0127146,32224807.9521078,33145108.3571629,33248989.6200784,31411993.6513112,31101578.9729055,31048159.5296717,31088142.9076121,29851449.6458445,29985571.3457249,
PA,1504,Nordeste Paraense,6260553.74399912,6306799.33579321,6652190.52183492,6879285.59655693,7214823.48214489,7826794.27698602,7779511.14650001,8141966.14031808,8916638.957,9547682.9749668,9788771.26403262,11507809.7914332,10817595.3371603,10863280.6862957,11329428.9634781,11364152.0052373,10978298.5749066,10956371.9131209,11891289.3625562,11830059.1258386,
PA,1505,Sudoeste Paraense,2422440.77704409,2387198.65547725,2657242.07063343,2711958.27066973,2782786.93008142,3210752.08473956,3120708.84737032,3149880.6177737,3595297.286,3969216.04955366,4674107.25491452,5689419.24832025,6551400.64867939,6222204.18076103,5628698.31942579,7050530.47563904,7749426.70593962,7705875.35753863,7710267.54408299,7999280.03517454,
PA,1506,Sudeste Paraense,13081858.5618231,13397920.3815733,15932767.747256,16787352.3578138,17918481.2932504,19075450.6726627,23867228.7693923,19932381.8604156,32393275.581,38510333.640352,35110871.3600434,37001523.7086226,31696496.9559137,29810790.5736267,29115340.0108284,35284615.3153054,34886205.2930558,40558441.2420844,54240853.3512217,64652033.3035315,
PB,2501,Sertão Paraibano,3605384.89048422,3697578.55387226,3751608.79909074,3879783.33425177,4291731.71966508,4411440.20214878,4857184.86870246,5132300.98092049,5155122.278,5265416.170179,5441178.94165388,5640001.82791597,6021704.45173084,6012217.05149852,6005477.85626997,6143448.583983,5983799.25803237,6110685.67279016,6000817.59276432,5836009.92174326,
PB,2502,Borborema,1115964.6641438,1131689.42477871,1152650.42240833,1233078.08566501,1319255.30854715,1375209.74870397,1480512.02328783,1562122.73385471,1576300.354,1589693.35063129,1641179.30430738,1714508.01619149,1806032.31727459,1869009.66384189,1831543.35319021,1899115.7800205,1956286.03046658,1942843.3910374,1953786.30149446,1975317.48536091,
PB,2503,Agreste Paraibano,6626317.06646047,6955723.41783991,6963712.66111775,7335208.50769621,8112170.9643027,8374109.30606696,8873785.86201938,9234428.90167963,9476491.298,9680004.76115698,10116805.9822147,10226190.2157836,10664501.8246663,10622069.7019519,10412638.0143261,10467466.6044015,10447480.8276893,10471818.2348063,10388330.3030232,10114764.9625678,
PB,2504,Mata Paraibana,12868433.1734779,12755327.5132512,12482920.9882459,12806723.3066749,14349120.0517032,14835492.1140999,16075304.691338,16847962.8805317,17314577.764,17724135.1311287,19139742.4004094,19315407.21797,20557962.8693026,19998367.5495552,19245474.7280372,19671690.4273892,19309865.9414049,19673929.1358288,18751080.0198309,18778971.141614,
PE,2601,Sertão Pernambucano,3878825.84709218,3647940.63572617,3714045.25073627,3991503.92239093,4329486.04934537,4503495.08937736,4883663.60680469,5183608.03439226,5868762.671,6078367.53518668,6261775.53772487,6305256.64422823,6655317.17956509,6165167.2425908,6151830.82351946,6366608.43334877,6560899.04002922,6758634.82317284,6509362.90553231,6309984.45952061,
PE,2602,São Francisco Pernambucano,4016488.55086298,4271687.06229905,4427173.18218292,4565679.55007815,4516269.97509692,4674778.89868314,4969313.2674784,5013197.40055748,5939521.345,5877113.66312783,6432345.39535583,6054218.28237244,6175629.7142705,6136364.81512081,5933345.39918721,6091603.19956679,6535063.95179554,6755944.03197546,6355919.82538153,6273593.28622863,
PE,2603,Agreste Pernambucano,9237668.81532766,8877740.92919374,9822805.20028809,10479401.2749946,11279692.306811,12042411.1998008,12687192.7307984,12978104.1092861,14557465.205,15382730.0869453,16762113.87339,17229967.0745619,17962580.5694664,17110111.377593,17068286.8770806,18166618.7831645,18037178.7934261,18359381.8372284,17690595.5624663,18084775.1321059,
PE,2604,Mata Pernambucana,7050977.56354153,6839535.49129517,6973418.45931903,7269310.86449848,7658830.62020165,7747159.03953592,8013192.83757628,8646580.17941454,9896289.618,10239837.7626559,10805358.2349386,11092543.1671082,12205480.0222642,12696827.7815128,13464230.2944326,15813952.8785424,15412454.5804124,16025299.9906911,14068882.3992486,15222320.0429069,
PE,2605,Metropolitana de Recife,44313333.4148529,40995910.601242,44575201.1036741,45961158.5147907,46963650.3140187,50085023.2154655,51375269.2143773,54658003.7024378,60927721.637,64123382.5414617,69203283.4042869,71612066.3200175,71446669.7953542,65535969.5998592,63543334.7741463,64691382.0971309,62582855.1947791,63268442.5082961,57386007.9914374,58729692.8168398,
